Table 3.1. Oyster model inventory.,,,,,,,,,,,,,
"[chl a, chlorophyll a; m, meter; m2, square meter, km2, square kilometer; ppt, parts per thousand; %, percent;  USGS, United State Geological Survey; LDWF, Louisiana Department of Wildlife and Fisheries; NOAA, National Oceanographic and Atmospheric Administration; CRMS, Coastwide Reference Monitoring Stations;  VIMS, Virginia Institute of Marine Sciences;  ADCIRC, Advanced Circulation Model; EPA, U.S. Environmental Protection Agency; LUMCON, Louisiana Marine Consortium]",,,,,,,,,,,,,
Model approach/Part of oyster life cycle,Reference,Location,Model description and objective, Model input variables,Timeframe and sources for input data in modeling study,Modeled processes ,Model output variables,Spatial description,Temporal description,Oyster model calibration/Validation,Coupled model calibration/Validation,Applicability for siting broodstock oyster reefs ,Model accessibility and ease of use
Larval Transport Model,"Cambazoglu and others (2020a, b, c, d)","Louisiana, Mississippi, Alabama coastal shelf waters","Coastal larval particle locations tracked hourly in 3D particle tracking module of Coupled-Ocean-Atmosphere-Wave Sediment Transport Model (COAWST) set up for Mississippi Bight and Sound from Mobile Bay, Alabama to the east of the Mississippi River Delta in Louisiana to examine trajectories and dispersal patterns over time ","Salinity
Water temperature
Current velocities (x,y,z)
Water depth 
Oyster bed/cultch","Coastal drifters were modeled from May through October 2015, 2016, and 2017 using the COAWST model with particle release locations at 24 known oyster reefs in the Mississippi Sound and Bight","Larval transport
","Larval release location 
Larval dispersal
Settlement/recruitment
",Spatially explicit particle tracking in COAWST model with 400-m spatial resolution and 24 vertical layers across the Mississippi Sound and Bight,"Hourly larval drifter locations with trajectories tracked from May 14-July 14 of 2015, 2016, and 2017 with salinity, temperature, currents, and depth generated at 5-minute intervals with larval locations",No formal calibration/validation performed for this publication. ,"None noted for the ongoing studies by Cambazoglu and others (2020a, b, c, d) listed on GRIIDC ","Provides information on passive larval transport, connectivity and settlement across a network of 24 known reefs located in coastal shelf waters.

Ability to examine coastal connectivity potential across estuaries or reefs for predicted future conditions by using larval transport module with added habitat suitability submodel based on temperature and salinity from Milroy and others (2020a, b, c)","Ongoing works listed on GRIIDC as Cambazoglu and others (2020a, b, c, d)"
On-reef oyster models,,,,,,,,,,,,,
"On-Reef Bioenergetics (Dynamic Energy Budget, DEB) Model ","Lavaud and others (2017, 2021)",Northern Gulf of Mexico,"Bioenergetics-based DEB model simulating energy densities available for structure and somatic growth maintenance, reproduction and gametes, and accounting for low salinity effects on filtration and through somatic maintenance (measured by respiration) to simulate observed growth and reproduction at two study sites in coastal Louisiana and statistically determine the best way to implement salinity effects","Salinity 
Water temperature
Food availability","Daily mean salinity, temperature, and chl-a from USGS and LUMCON continuous recorder stations","Oyster growth
Oyster reproduction
Oyster filtration
Oyster respiration","Oyster size
Oyster biomass
Oyster reproduction (gonad dry weight) ",Single point model for individual oyster growth and reproduction,Daily energy densities and flux rates simulated over single years for DEB model,"Calibrated for shell height, tissue dry weight and gonad dry weight using oysters from 2 sites in coastal Louisiana; Validated for oysters from 6 sites across Northern Gulf of Mexico ",Not applicable,"Provides information on physiological growth and reproduction of oysters based on temperature, salinity and food availability.

Ability to examine future effects on oyster growth and reproduction by using multiple DEB point models for reefs coupled with a 2D or 3D hydrodynamic or circulation models with water quality for chl-a concentrations.

Easily adaptable to different populations or organisms. ","DEB already calibrated as validated for several oyster sites in the Northern Gulf of Mexico. 

DEB code is open source and available online to run in R, Matlab or Octave software. Mechanistic approach is transferable. "
On-Reef Bioenergetics (Dynamic Energy Budget) Model ,Filgueira and others (2014),"Richibucto Estuary, Eastern Canada, Atlantic Coast",Spatial ecosystem-DEB model to evaluate oyster-phytoplankton interaction and oyster carrying capacity using a DEB model for three spatial regions (point models) coupled with a hydrodynamic-biogeochemical nutrient-phytoplankton-zooplankton-detritus (NPZD) model of the estuary ,"Water temperature
Food availability
Water depth
Current velocities (x, y) ","RMA hydrodynamic model generated water elevation and current velocities, temperature from July through October 1990 and 1991 

NPZD for chl a concentration from July through October for 1990 and 1991","Oyster growth
Oyster reproduction
Oyster filtration
Oyster respiration","Oyster size
Oyster biomass
","2D RMA model coupled with NPZD model for three spatial boxes in the estuary, with an oyster DEB point model for each spatial box","Daily energy densities and flux rates simulated over 5 months in 1990 and 1991 for calibration, then over 50 days in 2012 (August-September) ",Calibrated oyster DEB model to shell length and tissue mass using oyster data from sites pooled for each of three areas in estuary from 1990 and 1991,"RMA hydrodynamic model validation in Guyondet and others (2013)
Validation of the NPZD by comparing to observed chl a concentration and oyster growth at three sampling stations",Ability to examine future effects on oyster growth and reproduction by using multiple DEB point models for reefs coupled with a 2D or 3D hydrodynamic or circulation models with water quality or NPZD model for chl-a or phytoplankton concentrations,"DEB from Lauvaud and others (2017) already calibrated and validated for several oyster sites in the Northern Gulf of Mexico.

Water quality and NPZD models exist for some estuaries in Northern Gulf of Mexico which would be required to add plankton model. "
On-Reef Size-Structured Population Model ,"Powell and others (1992, 1996, 1997) and Hoffmann and others (1992, 1994)","Galveston Bay, Tex., Northern Gulf of Mexico ","Size-structured oyster reef population model comprised of 11 size classes and developed over several published studies to simulate changes in oyster size class biomass and structure due to ingestion and somatic growth, reproduction, and mortality due to Perkinsus, predation mortality, and extreme environmental conditions ","Salinity 
Water temperature 
Chlorophyll a
Current velocity
Water depth

Turbidity ","Daily temperature, salinity, water velocity, chl a concentration, and turbidity data collected for various regions and time periods in the 1980s and 1990s for Galveston Bay, Chesapeake Bay, and Laguna Madre affect food supply, oyster filtration and somatic growth, reproduction, and mortality due to disease, predation, and extreme weather ","Oyster growth
Oyster reproduction
Oyster filtration
Oyster respiration","Oyster size 
Oyster biomass
Oyster reproduction (gonad dry weight) 
Reef oyster density
Reef oyster biomass
Reef reproduction
Reef recruitment",Reef population is a single point model that has been applied to simulate multiple reef population point models within a hydrodynamic model grid in Galveston Bay,Daily oyster model time step run over multiple consecutive years,"None mentioned although size-structured oyster model parameters and initial densities, size distributions set from field study data",Not applicable,"Provides information on oyster size classes and population structure that can be used for initialization, verification and validation with field data.

Provides information on reef oyster growth, reproduction, and mortality based on temperature, salinity and food availability.

Ability to examine future effects on reef oyster size structure and biomass by using multiple reef population models for reefs coupled with a 2D or 3D hydrodynamic or circulation models with water quality or NPZD model for chl-a or phytoplankton concentrations","Size-structured reef population model already developed from field data in Galveston could be calibrated and validated for other estuaries in Northern Gulf of Mexico.

Hydrodynamic, water quality and NPZD models exist for some estuaries in Northern Gulf of Mexico to simulate food availability to reef populations"
On-Reef Size-Structured Population Model Northern Gulf of Mexico,Wang and others (2017),"Breton Sound Estuary, La. with similar analysis for Apalachicola Bay, Fla. (Wang and others, 2008) ","Coupled Delft3D-FLOW hydrodynamic model, Delft3D-WAQ water quality model, and oyster reef population model originally developed for Galveston Bay (for example, Powell and others, 1992; Hofmann and others, 1992, 1994; and Klinck and others, 1992) and previously modified for Apalachicola Bay, Fla. (Wang and others, 2008) to predict oyster growth rate and production responses to small and large-scale river diversions under low and high relative sea level rise scenarios","Salinity 
Water temperature 
Chlorophyll a
Current velocity

Turbidity 
","Daily temperature, salinity, turbidity, chl a, and current velocity generated by Delft3D-Flow and D-WAQ for 2009 drive oyster population model ","Oyster growth
Oyster mortality
Oyster reproduction
Oyster filtration
Oyster respiration","Oyster size 
Oyster biomass
Oyster reproduction (gonad dry weight) 
Reef oyster density
Reef oyster biomass
Reef reproduction
Reef recruitment",Varying spatial resolution for Delft3D models with finest resolution of 20 m for Breton Sound Estuary; spatial oyster model run using regular grid with 500×500-m cell size with depth averaged results from Delft3D models,Weekly timestep for oyster population model over single simulated years to compare with 2009 baseline year,Calibrated and validated using a non-spatial daily oyster model to compare against site-specific observed oyster growth and mortality field data with environmental data for 2009,"Delft3D-FLOW calibrated and validated to water levels in 2009 and from August through October 2012 for Hurricane Isaac over multiple CRMS stations (Hu and others, 2015); Delft3D-WAQ calibrated and validated to observed salinity, TSS, and Chl-a at 16 water quality stations (Lundberg and others, 2014) and 22 LDWF monitoring stations in 2009","Provides information on oyster size classes and population structure that can be used for initialization, verification and validation with field data.

Provides information on reef oyster growth, reproduction, and mortality based on temperature, salinity and food availability.

Ability to examine future effects on reef oyster size structure and biomass by using multiple reef population models for reefs coupled with a 2D or 3D hydrodynamic or circulation models with water quality or NPZD model for chl-a or phytoplankton concentrations","Wang and others, 2008 and 2017 modified the original Powell and Hoffmann reef population model version for spat, seed and sack oyster size classes for coupling with hydrodynamic and water quality models across Northern Gulf of Mexico estuaries. "
On-Reef Size-Structured Population Model ,Weber and others (2013),"Chesapeake Bay, Atlantic Coast","Size-structured oyster reef population models comprised of 5-mm size classes simulating annual growth, spawning, spat set modified by shell planting, and size-based mortality due to dermo and MSX disease for 8,480 oyster bars in order to evaluate abundance of spat, small, and market-size oysters throughout 10-year period for cultch restoration alternatives and no-harvest scenarios under the Environmental Impact Statement (EIS) and Risk Assessment for Chesapeake Bay Oyster Restoration","Disease prevalence (P. marinus, MSX)
Salinity
","Oyster monitoring data for model initialization from 2004 from the MDNR in 5-mm size class from dredge data for 2,882 bars, and 2004 VIMS Chesapeake Bay Oyster Population Estimation for 5,598 bars

Weather (wet, dry, normal) years classified based on USGS discharge data from 1937 to 2005 used to set spat set with North and others (2008) larval transport model among bars, and salinity fields which affect oyster mortality from disease on for oyster bars and the probability of killing freshets by year ","Oyster growth
Oyster reproduction
Oyster mortality","Oyster size 
Oyster biomass
Oyster reproduction 
Reef oyster density
Reef oyster biomass
Reef reproduction
Reef recruitment","8,480 oyster bars tracked annually as populations with results aggregated to larger salinity zones (< 11 ppt, 11-15 ppt, and ? 15 ppt) in Chesapeake Bay",Annual time step over 10 years,None mentioned although population models initialized and parameterized based on data collected at oyster bars,Not applicable,"Used reef-specific data to initialize reef population models and then used USGS flow data to classify estuarine salinity fields by wet, dry, and normal years in estuary which affected oyster disease prevalence and killing freshets, spat set across oyster bars ",Size-structured reef population model already developed from field data in Galveston from Powell and Klinck studies that could be calibrated and validated for other estuaries in Northern Gulf of Mexico 
On-Reef Shell Budget Model (SBM),"Soniat and others (2012a, 2014)","Breton Sound Estuary, La. with model application to determine no net shell loss and total allowable catch across public oyster grounds in all Louisiana coastal basins","Size-structured oyster shell stock assessment model comprised of 5-mm size classes simulating monthly time-dependent growth based on the von Bertalanffy equation, natural juvenile and adult mortality (with ranges), fishing mortality, cultch density, and sacks of seed and sack oysters fished for each year based on the concept of no net shell loss, and set up with initial oyster densities and lengths collected from square-meter sampling stations conducted in July on the public seed oyster grounds in coastal basins by the Louisiana Department of Wildlife and Fisheries.","Oyster densities (number live per square meter)
Oyster shell lengths (mm)
Cultch density (number dead shells per square meter). 
","LDWF data from station samples collected on each reefs within the public oyster grounds by coastal basin in July by year are available and directly inputted to the SBM as initial oyster densities, shell lengths, and cultch densities","Oyster growth
Oyster mortality
Fishing mortality
","Cultch density and mass
Number of sacks of seed and sack oysters
Oyster densities","Single SBM to describe change in cultch density and mass, and total allowable catch (harvest) by reef, based on LDWF station data collected on reefs (3-5 replicate square meter samples per station)","Monthly time step for one-year simulation based on July data to initialize model starting month of August
","None although the SBM for reefs in Louisiana coastal basins initialized with LDWF oyster square meter station data, and SBM predicted shell loss and (or) gains and total allowable catch (harvest of seed and sack oysters as fraction of cultch) compared to annual LDWF oyster stock assessment and harvest estimates",Not applicable,"Uses reef-specific data to initialize reef shell budget model to determine change in cultch density and mass, and number of seed and sack oysters harvested by month for each year. SMB determines the changes in cultch based on gains due to natural morality and losses to due to fishing mortality, and whether a reef is fishable (increases in cultch) or not (decreases in cultch); SBM might be an important component to included in determining reef maintenance",SBM already developed and used with LDWF data and annual stock assessments to determine annual changes to cultch and total allowable catch for reefs in Louisiana 
On-Reef Individual-Based Model using DEB coupled with shell budget model and predation,Yurek and others (2021),"North Inlet, Winyah Bay, South Carolina","Individual-based model using coupled DEB model with shell budget model to simulate 3D oyster reef structural mechanics and individual density/biomass/maintenance. DEB model for simulating energy fluxes available for structure and somatic growth maintenance, reproduction, and accounting for temperature affecting all energy fluxes and salinity affecting oyster filtration. Accounts for natural and burial mortality, predator occurrence and density and therefore predation mortality on oyster size classes also affected by salinity and temperature. Larval settlement to reef based on available area. Shell budget model simulates shell accretion due to oyster mortality and degradation modified by salinity.","Salinity
Water Temperature
Food Availability
Predators
","Daily salinity, temperature, and chl-a time series for model runs estimated from field data collected over oyster reefs in North Inlet, Winyah Bay, S.C.","Oyster growth
Oyster reproduction
Oyster filtration
Oyster somatic maintenance
Oyster recruitment 
Oyster natural, burial, and             predation mortality 
Oyster reef accretion
Oyster reef geomorphology Oyster reef degradation ","Oyster size, age
Oyster biomass
Oyster reproduction (gonad dry weight) 
Larval population reef Oyster density
Reef oyster biomass
Reef reproduction
Reef recruitment 
Reef height, volume
Reef live layer volume Reef crushed shell volume Reef crushed shell and valve biomass
Reef area for settlement",Single 3D reef point model simulating live oyster and reef shell biomass,Daily timestep simulated over 22 years for 1997-2018,"Component DEB model validated to oyster growth rates from 2-year field study in North Inlet (Dame and others, 2000); sensitivity analysis performed on key reef output variables ",Not applicable,"Provides information on physiological growth and reproduction of oysters based on temperature, salinity and food availability; Provides information on reef shell biomass, elevation and acreage available for larval settlement. 
Reef shell biomass and acreage also determined, and used to estimate larval settlement.
Provides estimate of reef long-term persistence and uncertainty in accretion/degradation.
Ability to examine future effects on oyster growth and reproduction by using multiple DEB point models for reefs coupled with a 2D or 3D hydrodynamic or circulation models with water quality for chl-a concentrations.
Adaptable to different estuaries if time series for temperature, salinity, chl-a available, and predators are known. ","Yurek and others (2021) validated model for oyster growth and ran environmental simulations for North Inlet, SC"
Metapopulation Models,,,,,,,,,,,,,
"Metapopulation 
(Coupled larval transport (with growth and mortality) with size-structured reef population model for full life cycle) ",Dekshenieks and others (2000),"Galveston Bay, Tex., Northern Gulf of Mexico ","Size-structured larval growth and transport model derived from Dekshenieks and others (1996) coupled with size-structured reef population point models (Powell, Hoffmann, Klinck and others studies above) located within the grid of a finite element hydrodynamic model of the estuary to investigate how changing environmental conditions affect population structure of oysters in Galveston Bay over space and time.","Salinity
Water temperature
Chlorophyll a
Oyster beds/cultch
Current velocities (x, y, z)

Turbidity ","Hourly temperature from NOAA NCDC (1970-1987), mean monthly salinity, chl a and total seston concentrations at 32 sites over a year (Powell and others, 1995) drive on-reef growth, mortality, and reproduction larval transport and settlement to reef populations

Oyster size frequencies and densities across 51 sites in April and May 1992 by the Galveston Bay National Estuarine Program (GNEP) used to initialize reef population models 

Reef areas overlaid on hydrodynamic model grid to estimate percent cover per grid cell","Larval transport
Larval growth
Larval mortality
Filtration
Respiration
On-reef oyster growth
On-reef oyster mortality
On-reef oyster reproduction","Oyster size
Reef oyster biomass
Reef oyster reproduction 
Reef oyster density
Reef recruitment
Larval dispersal
Larval survival ",Spatially explicit 3D finite element circulation model of Galveston Bay with mapped areal extent of oyster reefs overlaid on grid to determine percent cover,One-hour model time step over five-year simulations; total of seven simulations run to evaluate changes in environmental conditions,Rough order visual calibration of reference simulation using five years of mean environmental conditions to demonstrate that simulated oyster densities and distributions generally overlap with observed estuary-wide distributions. ,"None noted in this publication for the 3D finite element USACE circulation model of Galveston Bay (King, 1985)","First full life cycle oyster metapopulation model of its kind coupling larval transport model (with growth and mortality) to reef size-structured population point models throughout the estuary, and using a hydrodynamic model to drive larval transport, growth, and mortality and reef population processes.","Model encapsulates all aspects of oyster life cycle, including dispersal of larvae between reefs. "
"Metapopulation
(Coupled larval transport (with depth-dependent mortality and behavior) with size-structured reef population model for full life cycle)",Puckett and Eggleston (2016),"Pamlico Sound, N.C., Atlantic Coast","Existing larval transport model (Puckett and others, 2014) used for constructing a transition matrix for determining larval supply to reefs coupled with size-structured population matrix model for each of the 10 reserve reefs representing size-specific growth, survival and fecundity from empirically based demographic rates to (1) evaluate if reserve network functions as self-persistent metapopulation; 
(2) determine relative importance of reef demographics versus connectivity to the reserve source-sink dynamics; 
(3) assess stock enhancement; and
(4) evaluate FLOSS reef concept (few large or several small)","Oyster density
Oyster size 
Oyster mortality
Current velocities (x, y, z) 

","Oyster demographic data to parameterize 10 reserves collected from June 2006 through October 2008 from 2,686 oysters

Larval transport model from Puckett and others (2014) used to generate 10 seasonal connectivity matrices from May-June and then July-August for 2006 through 2010 simulations ","Larval transport
Larval recruitment
On-reef oyster growth","Settlement/recruitment
Reef oyster density 

",Demographic rates and population growth represented for ten oyster reserves as point models with larval supply among the reserves using a transition matrix informed from the spatially explicit larval transport model of the reef network,"Three seasonal timesteps to calculate reef annual growth rate and stable stage distribution through eigen analysis of matrix models; 
Ten seasonal connectivity matrices generated for May-June and then July-August for 2006 through 2010","None noted in this publication.
The size-structured matrix modeling summarizes all empirical data estimates and larval transport results from monitoring conducted over a reserve network of oyster reefs",Oyster larval transport model from Puckett and others (2014) was previously validated using surface drifters in Haase and others (2012),This full life cycle oyster metapopulation model is more of a representation of site-specific demographic data collected over a network of oyster reef reserves. ,"Matrix models are different means for representing size-structured growth, reproduction, and mortality of reef oysters. Study required significant local data on oyster larval transport and connectivity, on-reef oyster sizes, densities, growth and mortality estimates."
Some other approaches,,,,,,,,,,,,,
Regression Models,Livingston and others (2000),"Apalachicola Bay, Fla., Northern Gulf of Mexico","Pilot study coupling hydrodynamic modelling with biological data to determine the spatio-temporal effects of freshwater flows on oyster production in Apalachicola Bay

Develop statistical models relating oyster population data to physical-chemical conditions from water quality monitoring stations and coupled output from a hydrodynamic circulation model. 
","Salinity
Water temperature
Dissolved oxygen
Current velocities (x, y, z)
Water depth

Water color 
Turbidity 
Secchi depth
River flow 
Total rainfall","March 1985 through October 1986 for two sets of independent variables including 
(1) monthly field station data for water color, turbidity, oxygen, and bottom temperature, salinity, DO, sechhi depth, water depth, and average river flow and total rainfall over 10 days preceding the station samples; 
(2) surface and bottom mean and standard deviation of salinity, temperature, current velocity and min and max temperature from Princeton Ocean Model (POM) cells averaged over 30 days preceding the oyster samples",Statistical models to determine effects and relationships between biological and environmental data,"Larval oyster Concentration 
Spatfall 
Oyster size
Oyster mortality
Reef oyster density
Reef oyster biomass


",715 POM cells cover Apalachicola Bay system to use as independent variables in monthly oyster population regression models,"Monthly oyster regression models using monthly water quality station data and oyster samples at various stations for 1985 and 1986, and hourly POM-generated conditions for grid cells averaged over 30 days preceding the oyster samples
",None performed this study as the objective was to determine if spatiotemporal oyster population data could be described by water quality station data and (or) and modeled hydrologic data for the estuary,POM calibrated with salinity data collected at 30-minute intervals at sites throughout bay from June to November 1993. POM validated in this study using monthly bottom salinity data at six stations during March 1985-October 1986 ,Seminal study in the Northern Gulf of Mexico that coupled spatiotemporal oyster data with hydrographic data and a 3D POM using GIS framework that often used in HSI and other model development for oysters. ,Not applicable. 
Oyster Disease Model,Hofmann and others (2001),"Chesapeake Bay, Md., Atlantic Coast","Host-parasite physiologically based model structured around transmission of Haplosporidium nelsoni (MSX), proliferation, and death rates of the parasite and oyster in relation to changing environmental conditions in Chesapeake Bay ","Salinity
Water temperature
Chlorophyll a","Hourly salinity, temperature, chl a and total seston from EPA Chesapeake Bay Monitoring Station from 1986 through 1995

Oyster MSX disease prevalence and intensity from Tangier Sound oyster station (TSOW) by MD DNR ","Oyster mortality 
Parasite mortality",Reef MSX infection ,MSX host-parasite model is point model with hourly inputs,1-hour timestep run over 10 years,MSX disease prevalence verified with blood hemolymph assays from TSOW site from 1990-1994,Not applicable,Model formulation specific to evaluating oyster disease with limited applicability unless disease would need more detailed evaluation.,Published model. Contact authors. 
Oyster Food Web Model,Fulford and others (2010),"Chesapeake Bay, Md., Atlantic Coast","Bioenergetics-based food web model simulating daily growth and mortality of 23 biomass groups including oyster size classes, phytoplankton, zooplankton, and larval fish groups in order to evaluate oyster reef effects on the estuarine food web","Water temperature

Surface irradiance 
TISS concentration
Nitrogen 
Phosphorus ","Daily surface light level, temperature, TISS, N, P from 1993-2003 by the CBMP","Oyster growth
Oyster mortality
Oyster reproduction
Oyster filtration
Oyster respiration","Oyster size
Reef oyster biomass
Larval oyster biomass

Phytoplankton biomass
Zooplankton biomass
Larval Fish biomass ",Spatial boxes to represent differences in environmental conditions among oyster reef food web models,Daily model timestep run over single years for comparing multiple years,Oyster biomass fit to monthly oyster data for seasonal calibration,Not applicable,"Used for examining annual or within-year food web dynamics if nutrient, phytoplankton, chlorophyll a data exist. 
Applicable if there is a need for explicit modeling of food web interactions with oysters.","This oyster food web model (TroSIM) has been used in Northern Gulf of Mexico (Fulford and others, 2010). Contact authors for availability. "
